hsa	Homo sapiens (human)
mam	Mesorhizobium australicum
mes	Chelativorans sp. BNC1
pla	Parvibaculum lavamentivorans
sme	Sinorhizobium meliloti 1021
smk	Sinorhizobium meliloti AK83
smq	Sinorhizobium meliloti BL225C
smx	Sinorhizobium meliloti SM11
smi	Sinorhizobium meliloti Rm41
smeg	Sinorhizobium meliloti GR4
smel	Sinorhizobium meliloti 2011
smd	Sinorhizobium medicae
rhi	Sinorhizobium fredii NGR234
sfh	Sinorhizobium fredii HH103
sfd	Sinorhizobium fredii USDA 257
ead	Ensifer adhaerens
atu	Agrobacterium fabrum
ara	Agrobacterium radiobacter
avi	Agrobacterium vitis
agr	Agrobacterium sp. H13-3
ret	Rhizobium etli CFN 42
rec	Rhizobium etli CIAT 652
rel	Rhizobium etli bv. mimosae Mim1
rei	Rhizobium etli bv. mimosae IE4771
rle	Rhizobium leguminosarum bv. viciae 3841
rlt	Rhizobium leguminosarum bv. trifolii WSM2304
rlg	Rhizobium leguminosarum bv. trifolii WSM1325
rlb	Rhizobium leguminosarum bv. trifolii WSM1689
rlu	Rhizobium leguminosarum bv. trifolii CB782
rtr	Rhizobium tropici
rir	Rhizobium sp. IRBG74
rhl	Rhizobium sp. LPU83
ngl	Neorhizobium galegae bv. officinalis bv. officinalis HAMBI 1141
ngg	Neorhizobium galegae bv. orientalis HAMBI 540
las	Candidatus Liberibacter asiaticus psy62
laa	Candidatus Liberibacter asiaticus gxpsy
lso	Candidatus Liberibacter solanacearum
lcc	Liberibacter crescens
lar	Candidatus Liberibacter americanus
bme	Brucella melitensis bv. 1 16M
bmi	Brucella melitensis ATCC 23457
bmz	Brucella melitensis M28
bmg	Brucella melitensis M5-90
bmw	Brucella melitensis NI
bmf	Brucella abortus 2308
bmb	Brucella abortus 9-941
bmc	Brucella abortus S19
baa	Brucella abortus A13334
babo	Brucella abortus bv. 2 86/8/59
bms	Brucella suis 1330
bsi	Brucella suis 1330
bsf	Brucella suis bv. 1
bsui	Brucella suis bv. 2
bmt	Brucella suis ATCC 23445
bsz	Brucella suis bv. 3
bsv	Brucella suis VBI22
bov	Brucella ovis
bcs	Brucella canis ATCC 23365
bsk	Brucella canis HSK A52141
bol	Brucella canis Oliveri
bcar	Brucella canis RM6/66
bcas	Brucella canis SVA13
bmr	Brucella microti
bpp	Brucella pinnipedialis B2/94
bpv	Brucella pinnipedialis 6/566
bcet	Brucella ceti TE10759-12
bcee	Brucella ceti TE28753-12
oan	Ochrobactrum anthropi ATCC 49188
oah	Ochrobactrum anthropi OAB
bja	Bradyrhizobium diazoefficiens USDA 110
bju	Bradyrhizobium japonicum USDA 6
bra	Bradyrhizobium sp. ORS 278
bbt	Bradyrhizobium sp. BTAi1
brs	Bradyrhizobium sp. S23321
aol	Bradyrhizobium oligotrophicum
rpa	Rhodopseudomonas palustris CGA009
rpb	Rhodopseudomonas palustris HaA2
rpc	Rhodopseudomonas palustris BisB18
rpd	Rhodopseudomonas palustris BisB5
rpe	Rhodopseudomonas palustris BisA53
rpt	Rhodopseudomonas palustris TIE-1
rpx	Rhodopseudomonas palustris DX-1
nwi	Nitrobacter winogradskyi
nha	Nitrobacter hamburgensis
oca	Oligotropha carboxidovorans OM5 (Mississippi)
ocg	Oligotropha carboxidovorans OM5 (Goettingen)
oco	Oligotropha carboxidovorans OM4
bhe	Bartonella henselae Houston-1
bhn	Bartonella henselae BM1374163
bhs	Bartonella henselae BM1374165
bqu	Bartonella quintana Toulouse
bqr	Bartonella quintana RM-11
bbk	Bartonella bacilliformis
btr	Bartonella tribocorum CIP 105476
btx	Bartonella tribocorum BM1374166
bgr	Bartonella grahamii
bcd	Bartonella clarridgeiae
baus	Bartonella australis
bvn	Bartonella vinsonii
xau	Xanthobacter autotrophicus
azc	Azorhizobium caulinodans
sno	Starkeya novella
mex	Methylobacterium extorquens PA1
mea	Methylobacterium extorquens AM1
mdi	Methylobacterium extorquens DM4
mch	Methylobacterium extorquens CM4
mrd	Methylobacterium radiotolerans
met	Methylobacterium sp. 4-46
mpo	Methylobacterium populi
mno	Methylobacterium nodulans
mor	Methylobacterium oryzae
bid	Beijerinckia indica
msl	Methylocella silvestris
hdn	Hyphomicrobium denitrificans ATCC 51888
hdt	Hyphomicrobium denitrificans 1NES1
hmc	Hyphomicrobium sp. MC1
hni	Hyphomicrobium nitrativorans
rva	Rhodomicrobium vannielii
phl	Pelagibacterium halotolerans
msc	Methylocystis sp. SC2
hci	Candidatus Hodgkinia cicadicola Dsem
hct	Candidatus Hodgkinia cicadicola TETULN
ccr	Caulobacter crescentus CB15
ccs	Caulobacter crescentus NA1000
cak	Caulobacter sp. K31
cse	Caulobacter segnis
pzu	Phenylobacterium zucineum
bsb	Brevundimonas subvibrioides
aex	Asticcacaulis excentricus
sil	Ruegeria pomeroyi
sit	Ruegeria sp. TM1040
rsp	Rhodobacter sphaeroides 2.4.1
rsh	Rhodobacter sphaeroides ATCC 17029
rsq	Rhodobacter sphaeroides ATCC 17025
rsk	Rhodobacter sphaeroides KD131
rcp	Rhodobacter capsulatus
jan	Jannaschia sp. CCS1
rde	Roseobacter denitrificans
rli	Roseobacter litoralis
pde	Paracoccus denitrificans
pami	Paracoccus aminophilus
dsh	Dinoroseobacter shibae
kvu	Ketogulonicigenium vulgare Y25
kvl	Ketogulonicigenium vulgare WSH-001
psf	Pseudovibrio sp. FO-BEG1
pga	Phaeobacter inhibens
pgl	Phaeobacter gallaeciensis 2.10
pgd	Phaeobacter gallaeciensis DSM 26640
oat	Octadecabacter antarcticus
oar	Octadecabacter arcticus
lmd	Leisingera methylohalidivorans
red	Roseibacterium elongatum
ptp	Planktomarina temperata
mmr	Maricaulis maris
hne	Hyphomonas neptunium
hba	Hirschia baltica
zmo	Zymomonas mobilis subsp. mobilis ZM4
zmn	Zymomonas mobilis subsp. mobilis NCIMB 11163
zmm	Zymomonas mobilis subsp. mobilis ATCC 10988
zmb	Zymomonas mobilis subsp. mobilis ATCC 29191
zmi	Zymomonas mobilis subsp. mobilis CP4 = NRRL B-14023
zmc	Zymomonas mobilis subsp. mobilis CP4 = NRRL B-14023
zmr	Zymomonas mobilis subsp. mobilis NRRL B-12526
zmp	Zymomonas mobilis subsp. pomaceae ATCC 29192
nar	Novosphingobium aromaticivorans
npp	Novosphingobium sp. PP1Y
sal	Sphingopyxis alaskensis
swi	Sphingomonas wittichii
sphm	Sphingomonas sp. MM-1
sjp	Sphingobium japonicum
sch	Sphingobium chlorophenolicum
ssy	Sphingobium sp. SYK-6
eli	Erythrobacter litoralis
gox	Gluconobacter oxydans 621H
goh	Gluconobacter oxydans H24
gbe	Granulibacter bethesdensis CGDNIH1
gbh	Granulibacter bethesdensis CGDNIH2
gbc	Granulibacter bethesdensis CGDNIH3
gbs	Granulibacter bethesdensis CGDNIH4
acr	Acidiphilium cryptum
amv	Acidiphilium multivorum
gdi	Gluconacetobacter diazotrophicus PAl 5 (Brazil)
gdj	Gluconacetobacter diazotrophicus PAl 5 (JGI)
gxy	Gluconacetobacter medellinensis NBRC 3288
gxl	Gluconacetobacter xylinus E25
apt	Acetobacter pasteurianus IFO 3283-01
apw	Acetobacter pasteurianus IFO 3283-01-42C
apf	Acetobacter pasteurianus IFO 3283-03
apu	Acetobacter pasteurianus IFO 3283-07
apg	Acetobacter pasteurianus IFO 3283-12
apq	Acetobacter pasteurianus IFO 3283-22
apx	Acetobacter pasteurianus IFO 3283-26
apz	Acetobacter pasteurianus IFO 3283-32
apk	Acetobacter pasteurianus 386B
rru	Rhodospirillum rubrum ATCC 11170
rrf	Rhodospirillum rubrum F11
rce	Rhodospirillum centenum
rpm	Rhodospirillum photometricum
mag	Magnetospirillum magneticum
mgy	Magnetospirillum gryphiswaldense
azl	Azospirillum sp. B510
ali	Azospirillum lipoferum
abs	Azospirillum brasilense Sp245
abq	Azospirillum brasilense Az39
tmo	Tistrella mobilis
thal	Endolissoclinum patella
pbr	Parvularcula bermudensis
mgm	Magnetococcus marinus
mai	Micavibrio aeruginosavorus ARL-13
man	Micavibrio aeruginosavorus EPB
pgv	Polymorphum gilvum
pub	Candidatus Pelagibacter ubique
pel	Candidatus Pelagibacter sp. IMCC9063
apc	Alpha proteobacterium HIMB59
apm	Alpha proteobacterium HIMB5
apb	Candidatus Puniceispirillum marinum
bsu	Bacillus subtilis subsp. subtilis 168
bsr	Bacillus subtilis subsp. subtilis RO-NN-1
bsl	Bacillus subtilis subsp. subtilis BSP1
bsh	Bacillus subtilis subsp. subtilis 6051-HGW
bsy	Bacillus subtilis subsp. subtilis BAB-1
bss	Bacillus subtilis subsp. spizizenii W23
bst	Bacillus subtilis subsp. spizizenii TU-B-10
bso	Bacillus subtilis subsp. natto BEST195
bsn	Bacillus subtilis BSn5
bsq	Bacillus subtilis QB928
bsub	Bacillus subtilis BEST7613
bsx	Bacillus subtilis XF-1
bsp	Bacillus subtilis PY79
bli	Bacillus licheniformis ATCC 14580
bld	Bacillus licheniformis DSM 13 = ATCC 14580
blh	Bacillus licheniformis 9945A
bao	Bacillus amyloliquefaciens DSM 7
bay	Bacillus amyloliquefaciens FZB42
baq	Bacillus amyloliquefaciens subsp. plantarum CAU B946
bya	Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2
bamp	Bacillus amyloliquefaciens subsp. plantarum AS43.3
baml	Bacillus amyloliquefaciens subsp. plantarum UCMB5036
bama	Bacillus amyloliquefaciens subsp. plantarum UCMB5033
bamn	Bacillus amyloliquefaciens subsp. plantarum UCMB5113
bamb	Bacillus amyloliquefaciens subsp. plantarum NAU-B3
bamt	Bacillus amyloliquefaciens subsp. plantarum TrigoCor1448
baz	Bacillus amyloliquefaciens TA208
bql	Bacillus amyloliquefaciens LL3
bxh	Bacillus amyloliquefaciens XH7
bqy	Bacillus amyloliquefaciens Y2
bami	Bacillus amyloliquefaciens IT-45
bamc	Bacillus amyloliquefaciens CC178
bamf	Bacillus amyloliquefaciens LFB112
bamy	Bacillus amyloliquefaciens SQR9
bae	Bacillus atrophaeus
bha	Bacillus halodurans
ban	Bacillus anthracis Ames
bar	Bacillus anthracis Ames 0581
bat	Bacillus anthracis Sterne
bah	Bacillus anthracis CDC 684
bai	Bacillus anthracis A0248
bax	Bacillus anthracis H9401
bant	Bacillus anthracis A16
banr	Bacillus anthracis A16R
bans	Bacillus anthracis SVA11
bal	Bacillus cereus biovar anthracis CI
bce	Bacillus cereus ATCC 14579
bca	Bacillus cereus ATCC 10987
bcz	Bacillus cereus ZK
bcr	Bacillus cereus AH187
bcb	Bacillus cereus B4264
bcu	Bacillus cereus AH820
bcg	Bacillus cereus G9842
bcq	Bacillus cereus Q1
bcx	Bacillus cereus 03BB102
bnc	Bacillus cereus NC7401
bcf	Bacillus cereus F837/76
bcer	Bacillus cereus FRI-35
bcy	Bacillus cytotoxicus
btk	Bacillus thuringiensis 97-27
btl	Bacillus thuringiensis Al Hakam
btb	Bacillus thuringiensis BMB171
btt	Bacillus thuringiensis serovar kurstaki HD73
btc	Bacillus thuringiensis serovar chinensis CT-43
btf	Bacillus thuringiensis serovar finitimus YBT-020
btm	Bacillus thuringiensis MC28
btg	Bacillus thuringiensis Bt407
bti	Bacillus thuringiensis HD-771
btn	Bacillus thuringiensis HD-789
btht	Bacillus thuringiensis serovar thuringiensis IS5056
bthu	Bacillus thuringiensis YBT-1518
bwe	Bacillus weihenstephanensis
bty	Bacillus toyonensis
bmyc	Bacillus mycoides
bcl	Bacillus clausii
bpu	Bacillus pumilus SAFR-032
bpum	Bacillus pumilus MTCC B6033
bpf	Bacillus pseudofirmus
bmq	Bacillus megaterium QM B1551
bmd	Bacillus megaterium DSM 319
bmh	Bacillus megaterium WSH-002
bco	Bacillus cellulosilyticus
bck	Bacillus coagulans 2-6
bag	Bacillus coagulans 36D1
bjs	Bacillus sp. JS
baci	Bacillus sp. 1NLA3E
bif	Bacillus infantis
ble	Bacillus lehensis
bmet	Bacillus methanolicus
oih	Oceanobacillus iheyensis
gka	Geobacillus kaustophilus
gtn	Geobacillus thermodenitrificans
gth	Geobacillus thermoglucosidasius
gte	Geobacillus thermoleovorans
gwc	Geobacillus sp. WCH70
gyc	Geobacillus sp. Y412MC61
gya	Geobacillus sp. Y412MC52
gct	Geobacillus sp. C56-T3
gmc	Geobacillus sp. Y4.1MC1
ggh	Geobacillus sp. GHH01
gjf	Geobacillus sp. JF8
gst	Geobacillus stearothermophilu
afl	Anoxybacillus flavithermus
axl	Amphibacillus xylanus
lsp	Lysinibacillus sphaericus
lgy	Lysinibacillus sp. GY32
hhd	Halobacillus halophilus
tap	Terribacillus aidingensis
vir	Virgibacillus sp. SK37
bse	Bacillus selenitireducens
sau	Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sav	Staphylococcus aureus subsp. aureus Mu50 (MRSA/VISA)
saw	Staphylococcus aureus subsp. aureus Mu3 (MRSA/hetero-VISA)
sah	Staphylococcus aureus subsp. aureus JH1 (MRSA/VSSA)
saj	Staphylococcus aureus subsp. aureus JH9 (MRSA/VRSA)
sam	Staphylococcus aureus subsp. aureus MW2 (CA-MRSA)
sas	Staphylococcus aureus subsp. aureus MSSA476 (MSSA)
sar	Staphylococcus aureus subsp. aureus MRSA252 (MRSA)
sac	Staphylococcus aureus subsp. aureus COL (MRSA)
sax	Staphylococcus aureus subsp. aureus USA300_TCH1516 (CA-MSSA)
saa	Staphylococcus aureus subsp. aureus USA300_FPR3757 (CA-MRSA)
sao	Staphylococcus aureus subsp. aureus NCTC8325
sae	Staphylococcus aureus subsp. aureus Newman
sad	Staphylococcus aureus subsp. aureus ED98
suu	Staphylococcus aureus subsp. aureus M013 (CA-MRSA)
suv	Staphylococcus aureus subsp. aureus VC40
suh	Staphylococcus aureus subsp. aureus MSHR1132
sue	Staphylococcus aureus subsp. aureus ED133
suj	Staphylococcus aureus subsp. aureus JKD6159
suk	Staphylococcus aureus subsp. aureus JKD6008 (MRSA/VISA)
suc	Staphylococcus aureus subsp. aureus ECT-R 2
sut	Staphylococcus aureus subsp. aureus T0131 (MRSA)
suq	Staphylococcus aureus subsp. aureus TCH60
suz	Staphylococcus aureus subsp. aureus 11819-97 (CA-MRSA)
sud	Staphylococcus aureus subsp. aureus 71193
sux	Staphylococcus aureus subsp. aureus HO 5096 0412
suw	Staphylococcus aureus subsp. aureus TW20 (MRSA)
sug	Staphylococcus aureus subsp. aureus ST398 (MRSA)
suf	Staphylococcus aureus subsp. aureus LGA251
saua	Staphylococcus aureus subsp. aureus 55/2053
saue	Staphylococcus aureus subsp. aureus 6850 (MSSA)
saun	Staphylococcus aureus subsp. aureus CN1 (CA-MRSA)
saus	Staphylococcus aureus subsp. aureus SA40 (CA-MRSA)
sauu	Staphylococcus aureus subsp. aureus SA957 (CA-MRSA)
sauz	Staphylococcus aureus subsp. aureus Z172 (MRSA/VISA)
sab	Staphylococcus aureus RF122
suy	Staphylococcus aureus 04-02981
saub	Staphylococcus aureus 08BA02176
saum	Staphylococcus aureus M1
sauc	Staphylococcus aureus CA-347
saur	Staphylococcus aureus Bmb9393
saui	Staphylococcus aureus USA300-ISMMS1
saut	Staphylococcus aureus ST228/10388
sauj	Staphylococcus aureus ST228/10497
sauk	Staphylococcus aureus ST228/15532
sauq	Staphylococcus aureus ST228/16035
sauv	Staphylococcus aureus ST228/18412
sauw	Staphylococcus aureus ST228/16125
saux	Staphylococcus aureus ST228/18341
sauy	Staphylococcus aureus ST228/18583
sep	Staphylococcus epidermidis ATCC 12228
ser	Staphylococcus epidermidis RP62A
sepp	Staphylococcus epidermidis PM221
seps	Staphylococcus epidermidis SEI
sha	Staphylococcus haemolyticus
ssp	Staphylococcus saprophyticus
sca	Staphylococcus carnosus
slg	Staphylococcus lugdunensis HKU09-01
sln	Staphylococcus lugdunensis N920143
ssd	Staphylococcus pseudintermedius HKU10-03
sdt	Staphylococcus pseudintermedius ED99
swa	Staphylococcus warneri
spas	Staphylococcus pasteuri
sxy	Staphylococcus xylosus HKUOPL8
sxl	Staphylococcus xylosus SMQ-121
mcl	Macrococcus caseolyticus
lmo	Listeria monocytogenes EGD-e
lmf	Listeria monocytogenes F2365
lmh	Listeria monocytogenes HCC23
lmc	Listeria monocytogenes Clip81459
lmn	Listeria monocytogenes 08-5578
lmy	Listeria monocytogenes 08-5923
lmt	Listeria monocytogenes 10403S
lmg	Listeria monocytogenes FSL R2-561
lms	Listeria monocytogenes Finland 1998
lmj	Listeria monocytogenes J0161
lmq	Listeria monocytogenes M7
lml	Listeria monocytogenes L99
lmp	Listeria monocytogenes 07PF0776
lmw	Listeria monocytogenes SLCC2755
lmx	Listeria monocytogenes SLCC2372
lmz	Listeria monocytogenes serotype 7 SLCC2482
lmon	Listeria monocytogenes SLCC2376
lmoc	Listeria monocytogenes SLCC5850
lmos	Listeria monocytogenes SLCC7179
lmoo	Listeria monocytogenes SLCC2378
lmoy	Listeria monocytogenes SLCC2479
lmot	Listeria monocytogenes SLCC2540
lmoa	Listeria monocytogenes ATCC 19117
lmol	Listeria monocytogenes L312
lmog	Listeria monocytogenes serotype 4b LL195
lmoe	Listeria monocytogenes La111
lmob	Listeria monocytogenes N53-1
lmoj	Listeria monocytogenes J1-220
lmoz	Listeria monocytogenes J1816
lmod	Listeria monocytogenes EGD
lmow	Listeria monocytogenes WSLC1001
lmox	Listeria monocytogenes WSLC1042
lmoq	Listeria monocytogenes 6179
lmr	Listeria monocytogenes R479a
lin	Listeria innocua
lwe	Listeria welshimeri
lsg	Listeria seeligeri
liv	Listeria ivanovii subsp. ivanovii PAM 55
liw	Listeria ivanovii WSLC3009
esi	Exiguobacterium sibiricum
eat	Exiguobacterium sp. AT1b
ean	Exiguobacterium antarcticum
exm	Exiguobacterium sp. MH3
bbe	Brevibacillus brevis
pjd	Paenibacillus sp. JDR-2
gym	Paenibacillus sp. Y412MC10
ppy	Paenibacillus polymyxa E681
ppm	Paenibacillus polymyxa SC2
ppo	Paenibacillus polymyxa M1
ppol	Paenibacillus polymyxa CR1
ppq	Paenibacillus polymyxa SQR-21
pms	Paenibacillus mucilaginosus KNP414
pmq	Paenibacillus mucilaginosus 3016
pmw	Paenibacillus mucilaginosus K02
pta	Paenibacillus terrae
plv	Paenibacillus larvae
psab	Paenibacillus sabinae
pdu	Paenibacillus durus
pbd	Paenibacillus borealis
pgm	Paenibacillus graminis
pod	Paenibacillus odorifer
paen	Paenibacillus sp. FSL P4-0081
paef	Paenibacillus sp. FSL R5-0345
paeq	Paenibacillus sp. FSL R5-0912
pste	Paenibacillus stellifer
paea	Paenibacillus sp. FSL R7-0273
paee	Paenibacillus sp. FSL R7-0331
paeh	Paenibacillus sp. FSL H7-0357
paej	Paenibacillus sp. FSL H7-0737
tco	Thermobacillus composti
aac	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
aad	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
bts	Kyrpidia tusciae
siv	Solibacillus silvestris
lla	Lactococcus lactis subsp. lactis Il1403
llk	Lactococcus lactis subsp. lactis KF147
llt	Lactococcus lactis subsp. lactis CV56
lls	Lactococcus lactis subsp. lactis IO-1
lld	Lactococcus lactis subsp. lactis KLDS 4.0325
llc	Lactococcus lactis subsp. cremoris SK11
llm	Lactococcus lactis subsp. cremoris MG1363
llr	Lactococcus lactis subsp. cremoris A76
lln	Lactococcus lactis subsp. cremoris NZ9000
lli	Lactococcus lactis subsp. cremoris UC509.9
llw	Lactococcus lactis subsp. cremoris KW2
lgr	Lactococcus garvieae ATCC 49156
lgv	Lactococcus garvieae Lg2
spy	Streptococcus pyogenes SF370 (serotype M1)
spz	Streptococcus pyogenes MGAS5005 (serotype M1)
spym	Streptococcus pyogenes M1 476 (serotype M1)
spm	Streptococcus pyogenes MGAS8232 (serotype M18)
spg	Streptococcus pyogenes MGAS315 (serotype M3)
sps	Streptococcus pyogenes SSI-1 (serotype M3)
sph	Streptococcus pyogenes MGAS10270 (serotype M2)
spi	Streptococcus pyogenes MGAS10750 (serotype M4)
spj	Streptococcus pyogenes MGAS2096 (serotype M12)
spk	Streptococcus pyogenes MGAS9429 (serotype M12)
spf	Streptococcus pyogenes Manfredo (serotype M5)
spa	Streptococcus pyogenes MGAS10394 (serotype M6)
spb	Streptococcus pyogenes MGAS6180 (serotype M28)
stg	Streptococcus pyogenes MGAS15252 (serotype M59)
soz	Streptococcus pyogenes NZ131 (serotype M49)
stz	Streptococcus pyogenes Alab49 (serotype M53)
stx	Streptococcus pyogenes MGAS1882
spya	Streptococcus pyogenes A20
spyh	Streptococcus pyogenes HSC5
spn	Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spd	Streptococcus pneumoniae D39 (virulent serotype 2)
spr	Streptococcus pneumoniae R6 (avirulent)
spw	Streptococcus pneumoniae CGSP14 (serotype 14)
spx	Streptococcus pneumoniae G54 (serotype 19F)
sne	Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
spv	Streptococcus pneumoniae Hungary19A 6
snm	Streptococcus pneumoniae 70585
sjj	Streptococcus pneumoniae JJA
spp	Streptococcus pneumoniae P1031
snt	Streptococcus pneumoniae Taiwan19F-14
snc	Streptococcus pneumoniae TCH8431/19A
snb	Streptococcus pneumoniae 670-6B
snp	Streptococcus pneumoniae AP200
sni	Streptococcus pneumoniae INV104
snv	Streptococcus pneumoniae INV200
snx	Streptococcus pneumoniae OXC141
snd	Streptococcus pneumoniae ST556
snu	Streptococcus pneumoniae SPNA45
spng	Streptococcus pneumoniae gamPNI0373
spne	Streptococcus pneumoniae SPN034156
spnu	Streptococcus pneumoniae SPN034183
spnm	Streptococcus pneumoniae SPN994038
spno	Streptococcus pneumoniae SPN994039
spnn	Streptococcus pneumoniae A026
sag	Streptococcus agalactiae 2603 (serotype V)
san	Streptococcus agalactiae NEM316 (serotype III)
sak	Streptococcus agalactiae A909 (serotype Ia)
sgc	Streptococcus agalactiae GD201008-001 (serotype Ia)
sags	Streptococcus agalactiae SA20-06
sagl	Streptococcus agalactiae 2-22 (serotype Ib)
sagm	Streptococcus agalactiae 09mas018883
sagi	Streptococcus agalactiae ILRI005
sagr	Streptococcus agalactiae ILRI112
sagp	Streptococcus agalactiae 138P
sagc	Streptococcus agalactiae 138spar
smu	Streptococcus mutans UA159
smc	Streptococcus mutans NN2025
smj	Streptococcus mutans LJ23
smut	Streptococcus mutans GS-5
stc	Streptococcus thermophilus CNRZ1066
stl	Streptococcus thermophilus LMG18311
ste	Streptococcus thermophilus LMD-9
stn	Streptococcus thermophilus ND03
stu	Streptococcus thermophilus JIM 8232
stw	Streptococcus thermophilus MN-ZLW-002
sthe	Streptococcus thermophilus ASCC 1275
ssa	Streptococcus sanguinis
ssu	Streptococcus suis 05ZYH33
ssv	Streptococcus suis 98HAH33
ssb	Streptococcus suis BM407
ssi	Streptococcus suis P1/7
sss	Streptococcus suis SC84
sst	Streptococcus suis ST3
ssf	Streptococcus suis A7
ssk	Streptococcus suis D12
ssq	Streptococcus suis D9
ssw	Streptococcus suis GZ1
sui	Streptococcus suis JS14
suo	Streptococcus suis SS12
srp	Streptococcus suis ST1
sup	Streptococcus suis S735
ssus	Streptococcus suis SC070731
ssut	Streptococcus suis TL13
ssui	Streptococcus suis T15
ssuy	Streptococcus suis YB51
sgo	Streptococcus gordonii
seq	Streptococcus equi subsp. zooepidemicus H70
sez	Streptococcus equi subsp. zooepidemicus MGCS10565
sezo	Streptococcus equi subsp. zooepidemicus ATCC 35246
sequ	Streptococcus equi subsp. zooepidemicus CY
seu	Streptococcus equi subsp. equi 4047
sub	Streptococcus uberis
sds	Streptococcus dysgalactiae subsp. equisimilis GGS_124
sdg	Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
sda	Streptococcus dysgalactiae subsp. equisimilis RE378
sdc	Streptococcus dysgalactiae subsp. equisimilis AC-2713
sdq	Streptococcus dysgalactiae subsp. equisimilis 167
sga	Streptococcus gallolyticus UCN34
sgg	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069
sgt	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
smb	Streptococcus mitis
sor	Streptococcus oralis
stk	Streptococcus parauberis
stb	Streptococcus pasteurianus
scp	Streptococcus parasanguinis ATCC 15912
scf	Streptococcus parasanguinis FW213
ssr	Streptococcus salivarius CCHSS3
stf	Streptococcus salivarius 57.I
stj	Streptococcus salivarius JIM8777
std	Streptococcus pseudopneumoniae
smn	Streptococcus macedonicus
sif	Streptococcus infantarius
sie	Streptococcus intermedius JTH08
sib	Streptococcus intermedius B196
siu	Streptococcus intermedius C270
sang	Streptococcus anginosus C1051
sanc	Streptococcus anginosus C238
scg	Streptococcus constellatus subsp. pharyngis C1050
scon	Streptococcus constellatus subsp. pharyngis C232
scos	Streptococcus constellatus subsp. pharyngis C818
soi	Streptococcus oligofermentans
sik	Streptococcus iniae SF1
siq	Streptococcus iniae ISET0901
sio	Streptococcus iniae ISNO
slu	Streptococcus lutetiensis
sig	Streptococcus sp. I-G2
sip	Streptococcus sp. I-P16
stv	Streptococcus sp. VT 162
lpl	Lactobacillus plantarum WCFS1
lpj	Lactobacillus plantarum JDM1
lpt	Lactobacillus plantarum ZJ316
lps	Lactobacillus plantarum subsp. plantarum ST-III
lpr	Lactobacillus plantarum subsp. plantarum P-8
lpz	Lactobacillus plantarum 16
ljo	Lactobacillus johnsonii NCC 533
ljf	Lactobacillus johnsonii FI9785
ljh	Lactobacillus johnsonii DPC 6026
ljn	Lactobacillus johnsonii N6.2
lac	Lactobacillus acidophilus NCFM
lai	Lactobacillus acidophilus 30SC
lad	Lactobacillus acidophilus La-14
lsa	Lactobacillus sakei
lsl	Lactobacillus salivarius UCC118
lsi	Lactobacillus salivarius CECT 5713
lsj	Lactobacillus salivarius JCM1046
ldb	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842
lbu	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365
lde	Lactobacillus delbrueckii subsp. bulgaricus ND02
ldl	Lactobacillus delbrueckii subsp. bulgaricus 2038
lbr	Lactobacillus brevis ATCC 367
lbk	Lactobacillus brevis KB290
lca	Lactobacillus casei ATCC 334
lcb	Lactobacillus casei BL23
lcz	Lactobacillus casei Zhang
lcs	Lactobacillus casei BD-II
lce	Lactobacillus casei LC2W
lcw	Lactobacillus casei W56
lcl	Lactobacillus casei LOCK919
lga	Lactobacillus gasseri
lre	Lactobacillus reuteri DSM 20016
lrf	Lactobacillus reuteri JCM 1112
lru	Lactobacillus reuteri SD2112
lrt	Lactobacillus reuteri I5007
lrr	Lactobacillus reuteri TD1
lhe	Lactobacillus helveticus DPC 4571
lhl	Lactobacillus helveticus H10
lhr	Lactobacillus helveticus R0052
lhv	Lactobacillus helveticus CNRZ32
lhh	Lactobacillus helveticus H9
lfe	Lactobacillus fermentum IFO 3956
lfr	Lactobacillus fermentum CECT 5716
lff	Lactobacillus fermentum F-6
lrh	Lactobacillus rhamnosus GG
lrg	Lactobacillus rhamnosus GG
lrl	Lactobacillus rhamnosus Lc 705
lra	Lactobacillus rhamnosus ATCC 8530
lro	Lactobacillus rhamnosus LOCK900
lrc	Lactobacillus rhamnosus LOCK908
lcr	Lactobacillus crispatus
lam	Lactobacillus amylovorus GRL 1112
lay	Lactobacillus amylovorus GRL1118
lbh	Lactobacillus buchneri NRRL B-30929
lbn	Lactobacillus buchneri CD034
lke	Lactobacillus kefiranofaciens
lrm	Lactobacillus ruminis
lsn	Lactobacillus sanfranciscensis
lpi	Lactobacillus paracasei subsp. paracasei 8700:2
lpq	Lactobacillus paracasei N1115
law	Lactobacillus sp. wkB8
ppe	Pediococcus pentosaceus ATCC 25745
ppen	Pediococcus pentosaceus SL4
pce	Pediococcus claussenii
efa	Enterococcus faecalis V583
efl	Enterococcus faecalis 62
